text,chapter,count_e,word_count
"It is a truth universally acknowledged, that a single man in possession",,5,12
"of a good fortune, must be in want of a wife.",,3,11
However little known the feelings or views of such a man may be on his,,8,15
"first entering a neighbourhood, this truth is so well fixed in the minds",,6,13
"of the surrounding families, that he is considered as the rightful",,6,11
property of some one or other of their daughters.,,6,9
"""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that",,6,15
"Netherfield Park is let at last?""",,4,6
Mr. Bennet replied that he had not.,,5,7
"""But it is,"" returned she; ""for Mrs. Long has just been here, and she",,8,14
Mr. Bennet was among the earliest of those who waited on Mr. Bingley. He,,9,14
"had always intended to visit him, though to the last always assuring his",,3,13
wife that he should not go; and till the evening after the visit was,,7,14
"paid, she had no knowledge of it. It was then disclosed in the following",,6,14
"manner. Observing his second daughter employed in trimming a hat, he",,7,11
"suddenly addressed her with,",,4,4
"""I hope Mr. Bingley will like it Lizzy.""",,3,8
"""We are not in a way to know _what_ Mr. Bingley likes,"" said her mother",,6,15
"resentfully, ""since we are not to visit.""",,5,7
"""But you forget, mama,"" said Elizabeth, ""that we shall meet him at the",,7,13
"Not all that Mrs. Bennet, however, with the assistance of her five",,8,12
"daughters, could ask on the subject was sufficient to draw from her",,5,12
husband any satisfactory description of Mr. Bingley. They attacked him,,4,10
"in various ways; with barefaced questions, ingenious suppositions, and",,4,9
distant surmises; but he eluded the skill of them all; and they were at,,9,14
last obliged to accept the second-hand intelligence of their neighbour,,9,11
Lady Lucas. Her report was highly favourable. Sir William had been,,5,11
"delighted with him. He was quite young, wonderfully handsome, extremely",,9,10
"agreeable, and to crown the whole, he meant to be at the next assembly",,11,14
with a large party. Nothing could be more delightful! To be fond of,,5,13
"When Jane and Elizabeth were alone, the former, who had been cautious in",,11,13
"her praise of Mr. Bingley before, expressed to her sister how very much",,11,13
she admired him.,,2,3
"""He is just what a young man ought to be,"" said she, ""sensible, good",,5,14
"humoured, lively; and I never saw such happy manners!--so much ease,",,7,12
"with such perfect good breeding!""",,4,5
"""He is also handsome,"" replied Elizabeth, ""which a young man ought",,6,11
"likewise to be, if he possibly can. His character is thereby complete.""",,9,12
"""I was very much flattered by his asking me to dance a second time. I",,7,15
"did not expect such a compliment.""",,3,6
Within a short walk of Longbourn lived a family with whom the Bennets,,4,13
were particularly intimate. Sir William Lucas had been formerly in trade,,7,11
"in Meryton, where he had made a tolerable fortune and risen to the",,10,13
"honour of knighthood by an address to the King, during his mayoralty.",,2,12
The distinction had perhaps been felt too strongly. It had given him a,,6,13
disgust to his business and to his residence in a small market town; and,,5,14
"quitting them both, he had removed with his family to a house about a",,5,14
"mile from Meryton, denominated from that period Lucas Lodge, where he",,9,11
"could think with pleasure of his own importance, and unshackled by",,4,11
"business, occupy himself solely in being civil to all the world. For",,5,12
The ladies of Longbourn soon waited on those of Netherfield. The visit,,8,12
was returned in due form. Miss Bennet's pleasing manners grew on the,,9,13
good will of Mrs. Hurst and Miss Bingley; and though the mother was,,3,13
"found to be intolerable and the younger sisters not worth speaking to, a",,7,13
"wish of being better acquainted with _them_, was expressed towards the",,9,11
two eldest. By Jane this attention was received with the greatest,,10,11
pleasure; but Elizabeth still saw superciliousness in their treatment of,,9,10
"every body, hardly excepting even her sister, and could not like them;",,10,12
"though their kindness to Jane, such as it was, had a value as arising in",,4,15
all probability from the influence of their brother's admiration. It was,,5,12
Mr. Bennet's property consisted almost entirely in an estate of two,,8,12
"thousand a year, which, unfortunately for his daughters, was entailed in",,5,11
"default of heirs male, on a distant relation; and their mother's",,6,12
"fortune, though ample for her situation in life, could but ill supply",,4,12
"the deficiency of his. Her father had been an attorney in Meryton, and",,9,13
had left her four thousand pounds.,,2,6
"She had a sister married to a Mr. Philips, who had been a clerk to their",,7,16
"father, and succeeded him in the business, and a brother settled in",,9,12
London in a respectable line of trade.,,5,7
The village of Longbourn was only one mile from Meryton; a most,,5,12
"At five o'clock the two ladies retired to dress, and at half past six",,6,15
Elizabeth was summoned to dinner. To the civil enquiries which then,,8,11
"poured in, and amongst which she had the pleasure of distinguishing the",,6,12
"much superior solicitude of Mr. Bingley's, she could not make a very",,6,13
"favourable answer. Jane was by no means better. The sisters, on hearing",,9,12
"this, repeated three or four times how much they were grieved, how",,11,12
"shocking it was to have a bad cold, and how excessively they disliked",,6,13
being ill themselves; and then thought no more of the matter: and their,,9,13
"indifference towards Jane when not immediately before them, restored",,12,9
Elizabeth to the enjoyment of all her original dislike.,,7,9
"Elizabeth passed the chief of the night in her sister's room, and in the",,9,15
morning had the pleasure of being able to send a tolerable answer to the,,10,14
"enquiries which she very early received from Mr. Bingley by a housemaid,",,10,12
and some time afterwards from the two elegant ladies who waited on his,,8,13
"sisters. In spite of this amendment, however, she requested to have a",,11,12
"note sent to Longbourn, desiring her mother to visit Jane, and form her",,7,13
"own judgment of her situation. The note was immediately dispatched, and",,7,11
"its contents as quickly complied with. Mrs. Bennet, accompanied by her",,6,11
"two youngest girls, reached Netherfield soon after the family breakfast.",,9,10
"Had she found Jane in any apparent danger, Mrs. Bennet would have been",,9,13
The day passed much as the day before had done. Mrs. Hurst and Miss,,6,14
"Bingley had spent some hours of the morning with the invalid, who",,5,12
"continued, though slowly, to mend; and in the evening Elizabeth joined",,8,11
"their party in the drawing-room. The loo table, however, did not appear.",,7,13
"Mr. Darcy was writing, and Miss Bingley, seated near him, was watching",,4,12
"the progress of his letter, and repeatedly calling off his attention by",,8,12
"messages to his sister. Mr. Hurst and Mr. Bingley were at piquet, and",,7,13
Mrs. Hurst was observing their game.,,3,6
"Elizabeth took up some needlework, and was sufficiently amused in",,8,10
attending to what passed between Darcy and his companion. The perpetual,,8,11
"When the ladies removed after dinner, Elizabeth ran up to her sister,",,11,12
"and seeing her well guarded from cold, attended her into the",,9,11
